Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
1;Tropa Do Bruxo;EL_GRANDE BRUXO;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Tropa Do Bruxo;deco;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Tropa Do Bruxo;Gugu.;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Tropa Do Bruxo;GaguiN;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Tropa Do Bruxo;Schmidtiago;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Peruvian;Xokas²;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Peruvian;Xnx;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Peruvian;dylan_1;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Peruvian;ROMERO_SUB;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Peruvian;oño;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Таллинн рулит;okun;Nao;0/4;0;Baby Dragon, Goblin Barrel, Hog Rider, Inferno Tower, Skeleton Army, Sparky, Witch, Zap;Bandit, Bomber, Ice Spirit, P.E.K.K.A, Poison, Princess, Tornado, Wizard;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Таллинн рулит;антон85;Sim;1/4;0;Bats, Bomber, Executioner, Inferno Dragon, Prince, Princess, Royal Hogs, Skeleton Army;Arrows, Barbarians, Bomb Tower, Dark Prince, Little Prince, Magic Archer, Miner, Mini P.E.K.K.A;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Таллинн рулит;Аndrei;Nao;0/4;0;Arrows, Baby Dragon, Barbarian Barrel, Berserker, Dart Goblin, Executioner, Firecracker, Ram Rider;Battle Ram, Goblin Barrel, Goblin Demolisher, Goblin Gang, Goblin Machine, Knight, Minions, Wizard;Bats, Bomber, Fireball, Inferno Dragon, Royal Hogs, Spear Goblins, Valkyrie, Zap;Hog Rider, Inferno Tower, Lumberjack, Magic Archer, Minion Horde, Princess, Rage, Skeleton Army
4;Таллинн рулит;enderwar;Nao;0/4;0;Archers, Executioner, Giant Skeleton, Knight, Lightning, Princess, Sparky, Zap;Arrows, Balloon, Barbarian Barrel, Lava Hound, Mini P.E.K.K.A, Skeleton Dragons, Tombstone, Valkyrie;Bandit, Cannon Cart, Electro Wizard, Goblin Barrel, Goblins, Mega Knight, Skeleton Barrel, Wizard;Cannon, Fireball, Hog Rider, Ice Golem, Ice Spirit, Musketeer, Skeletons, The Log
5;Таллинн рулит;ORBYC;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
