Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
5;Tropa Do Bruxo;PoneyMaldito;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Peruvian;JĘŞŲŞ;Sim;4/4;550;Battle Healer, Dart Goblin, Goblin Gang, Minions, Sparky, Tesla, The Log, X-Bow;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Peruvian;leonardo xd;Sim;2/4;200;Dart Goblin, Fireball, Hog Rider, Ice Spirit, Tesla, The Log, Valkyrie, Zap;Arrows, Barbarian Barrel, Cannon, Dark Prince, Giant Skeleton, Knight, Musketeer, Skeletons;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Peruvian;mastwr;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Peruvian;MAEL;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Peruvian;Tefit0oo;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;Таллинн рулит;Prosergio;Sim;4/4;1400;Electro Giant, Firecracker, Goblin Gang, Lumberjack, Musketeer, Spirit Empress, Tesla, X-Bow;Freeze, Giant, Magic Archer, Night Witch, Phoenix, Tombstone, Valkyrie, Vines;Baby Dragon, Battle Healer, Battle Ram, Executioner, Flying Machine, Furnace, Mirror, Tornado;Archers, Dart Goblin, Electro Dragon, Golden Knight, Golem, Poison, Skeletons, Witch
2;Таллинн рулит;art;Sim;4/4;1300;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Таллинн рулит;Mihhail;Sim;4/4;1200;Archers, Baby Dragon, Battle Healer, Fire Spirit, Princess, Royal Giant, Three Musketeers, Zappies;Balloon, Cannon Cart, Electro Wizard, Minions, Tesla, Tombstone, Tornado, Valkyrie;Barbarian Barrel, Bowler, Firecracker, Flying Machine, Goblins, Graveyard, Hog Rider, Mega Knight;Bandit, Barbarians, Battle Ram, Goblin Cage, Inferno Dragon, Mother Witch, Prince, Spear Goblins
4;Таллинн рулит;Alex;Sim;4/4;1200;Battle Ram, Bomber, Firecracker, Mega Knight, Minions, Princess, Royal Ghost, Tesla;Archers, Bats, Dart Goblin, Electro Wizard, Executioner, Flying Machine, Inferno Dragon, Musketeer;Arrows, Barbarians, Electro Giant, Furnace, Knight, Skeleton Dragons, Tornado, Zappies;Baby Dragon, Fireball, Goblin Gang, Hog Rider, Skeleton Army, The Log, Valkyrie, Wizard
5;Таллинн рулит;Sakura;Sim;4/4;1200;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
